CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VMDATE 	VSZ4   	VMPOPUL	VMOD8  	VMOD7A 	VMOD7B 	VMOD6A 	VMOD6B 	VMOD5A 	VMOD5B 	VMOD5C 	VMOD5D 	VMOD5E 	VMOD5F 	VMOD4  	VMOD3A 	VMOD3B 	VMOD3C 	VMOD2A 	VMOD2B 	VMOD2C 	VMOD2D 	VMOD2E 	VMOD2F 	VMOD1A 	VMOD1B 	VMOD1C 	VMOD1D 	VMOD1E 	VMOD1F 	VMOD1G 	VMOD1H 	VMOD1I 	VMOD1J 	VMOD1K 	VMOD1L 	VMOD1M 	VMOD1N 	VMOD1O 	VMOD1P 	VMOD1Q 	VMOD1R 	VMOD1S 
1	01	01	01	00	004	7301	   0	   182	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	D	N	D	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7302	   0	   182	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	B	N	B	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7303	   0	   200	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7304	   0	   200	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7305	   0	   200	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7306	   0	   200	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	01	00	004	7307	   0	   392	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	C	A	A	A	A	A	B	B	B	A	C	A	B	D	D	D	B	C	D
1	01	01	01	00	004	7308	   0	   893	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	C	A	A	A	A	A	B	B	B	A	C	A	B	D	D	D	B	C	D
1	01	01	01	00	004	7309	   0	   893	B	B	D	B	B	B	B	B	B	C	D	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	A	B	B	C	D	D	A	D	D
1	01	01	01	00	004	7310	   0	   893	B	B	D	B	B	B	B	B	B	C	D	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	A	B	B	C	D	D	A	D	D
1	01	01	01	00	004	7311	   0	   893	B	B	D	B	B	B	B	B	B	C	D	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	A	B	B	C	D	D	A	D	D
1	01	01	01	00	004	7312	   0	  1676	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	B	B	A	B	C	C	C	D	D	B	D	C
1	01	01	02	00	004	7301	   0	    53	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	C	N	C	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7302	   0	    53	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	B	N	B	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7303	   0	   100	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7304	   0	   100	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7305	   0	   100	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7306	   0	   100	C	C	E	D	B	B	C	B	E	E	E	 	 	 	 	 	 	 	 	 	 	A	B	B	B	B	E	N	B	B	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7307	   0	   995	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	C	A	A	A	A	A	B	B	B	A	C	A	B	D	D	D	B	C	D
1	01	01	02	00	004	7308	   0	  3269	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	C	A	A	A	A	A	B	B	B	A	C	A	B	D	D	D	B	C	D
1	01	01	02	00	004	7309	   0	  3269	A	A	C	A	A	B	A	A	A	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	A	A	A	A	A	A	B	C	D	B	C	D
1	01	01	02	00	004	7310	   0	  3323	A	A	C	A	A	B	A	A	A	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	A	A	A	A	A	A	B	C	D	B	C	D
1	01	01	02	00	004	7311	   0	  3323	B	B	C	B	B	B	A	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	A	A	B	B	C	D	B	C	D
1	01	01	02	00	004	7312	   0	  4081	B	B	C	B	B	B	A	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	03	00	004	7301	   0	    36	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	D	N	D	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	03	00	004	7302	   0	    36	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	B	N	B	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	03	00	004	7303	   0	  5139	B	B	C	B	A	B	A	A	B	B	D	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	A	A	B	A	A	A	C	D	B	B	D	N
1	01	01	03	00	004	7304	   0	  5815	A	A	C	A	A	A	A	A	A	B	D	 	 	 	 	 	 	 	 	 	 	A	A	A	A	A	A	B	A	A	A	C	A	A	C	D	B	B	D	N
