CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VMDATE 	VSZ4   	VMPOPUL	VMOD8  	VMOD7A 	VMOD7B 	VMOD6A 	VMOD6B 	VMOD5A 	VMOD5B 	VMOD5C 	VMOD5D 	VMOD5E 	VMOD5F 	VMOD4  	VMOD3A 	VMOD3B 	VMOD3C 	VMOD2A 	VMOD2B 	VMOD2C 	VMOD2D 	VMOD2E 	VMOD2F 	VMOD1A 	VMOD1B 	VMOD1C 	VMOD1D 	VMOD1E 	VMOD1F 	VMOD1G 	VMOD1H 	VMOD1I 	VMOD1J 	VMOD1K 	VMOD1L 	VMOD1M 	VMOD1N 	VMOD1O 	VMOD1P 	VMOD1Q 	VMOD1R 	VMOD1S 
1	01	01	01	00	004	7107	   0	  4520	B	B	C	B	B	B	B	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	A	C	B	B	B	B	B	B	N	B	B	C	C	B	B	B	D
1	01	01	01	00	004	7108	   0	  4520	B	B	C	B	B	B	B	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	A	C	B	B	B	B	B	B	N	B	B	C	C	B	B	B	D
1	01	01	01	00	004	7109	   0	  4520	B	B	C	B	B	B	B	A	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	B	B	A	A	A	N	B	A	C	C	C	B	B	B
1	01	01	01	00	004	7110	   0	  4520	B	B	C	B	B	B	B	A	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	B	A	B	B	A	A	A	N	B	A	C	C	C	B	C	B
1	01	01	01	00	004	7111	   0	  4520	B	B	C	B	B	B	B	A	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	B	B	A	A	A	N	B	A	C	C	C	B	C	B
1	01	01	01	00	004	7112	   0	  4520	B	B	B	B	B	B	B	B	A	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	N	B	A	B	C	B	B	B	B
1	01	01	02	00	004	7107	   0	  4655	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	B	B	B	B	A	A	B	A	B	C	C	B	C	A
1	01	01	02	00	004	7108	   0	  4655	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	B	B	B	B	A	A	B	A	B	C	C	B	C	A
1	01	01	02	00	004	7109	   0	  4655	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	C	B	B	A
1	01	01	02	00	004	7110	   0	  4655	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	C	B	D	A
1	01	01	02	00	004	7111	   0	  4655	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	C	B	D	A
1	01	01	02	00	004	7112	   0	  4655	B	B	C	B	B	B	B	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	B	B	C	A
1	01	01	03	00	004	7107	   0	  4380	B	B	B	B	B	B	B	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	B	A	B	B	A	B	B	B	A	B	B	A	B	B	C	A	B	B
