CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VMDATE 	VSZ4   	VMPOPUL	VMOD8  	VMOD7A 	VMOD7B 	VMOD6A 	VMOD6B 	VMOD5A 	VMOD5B 	VMOD5C 	VMOD5D 	VMOD5E 	VMOD5F 	VMOD4  	VMOD3A 	VMOD3B 	VMOD3C 	VMOD2A 	VMOD2B 	VMOD2C 	VMOD2D 	VMOD2E 	VMOD2F 	VMOD1A 	VMOD1B 	VMOD1C 	VMOD1D 	VMOD1E 	VMOD1F 	VMOD1G 	VMOD1H 	VMOD1I 	VMOD1J 	VMOD1K 	VMOD1L 	VMOD1M 	VMOD1N 	VMOD1O 	VMOD1P 	VMOD1Q 	VMOD1R 	VMOD1S 
1	01	01	01	00	004	7201	   0	  4520	B	B	B	B	B	B	B	B	A	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	N	B	A	B	C	B	B	B	B
1	01	01	01	00	004	7202	   0	  4520	B	B	B	B	B	B	B	B	A	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	A	A	B	B	B	A	N	B	A	B	C	B	B	B	B
1	01	01	01	00	004	7203	   0	  4520	D	D	C	C	D	D	C	C	B	B	B	 	 	 	 	 	 	 	 	 	 	C	D	D	B	D	A	B	B	C	A	N	B	B	B	C	B	B	C	B
1	01	01	01	00	004	7204	   0	  1450	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	01	00	004	7205	   0	  1450	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	01	00	004	7206	   0	  2446	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7207	   0	  1700	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7208	   0	  1897	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7209	   0	   182	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	D	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7210	   0	   182	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	C	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7211	   0	   182	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	C	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	01	00	004	7212	   0	   182	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	D	N	D	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	02	00	004	7201	   0	  4655	B	B	C	B	B	B	B	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	B	B	C	A
1	01	01	02	00	004	7202	   0	  4655	B	B	C	B	B	B	B	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	B	B	A	B	B	B	A	N	A	B	A	C	B	B	C	A
1	01	01	02	00	004	7203	   0	  4655	C	C	C	C	C	C	C	C	B	B	B	 	 	 	 	 	 	 	 	 	 	B	D	D	B	D	A	B	C	C	A	N	A	C	A	C	B	B	C	A
1	01	01	02	00	004	7204	   0	  1485	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	02	00	004	7205	   0	  1485	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	02	00	004	7206	   0	  1718	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7207	   0	  1315	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7208	   0	   305	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7209	   0	    53	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	D	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7210	   0	    53	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7211	   0	    53	E	E	E	E	D	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	D	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	02	00	004	7212	   0	    53	E	E	E	E	D	D	N	D	E	E	E	 	 	 	 	 	 	 	 	 	 	E	B	B	N	B	E	N	D	D	E	N	E	E	E	E	N	E	E	N
1	01	01	03	00	004	7201	   0	  4380	B	B	C	B	A	B	A	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	B	B	B	B	A	N	A	B	B	B	C	B	C	A
1	01	01	03	00	004	7202	   0	  4380	B	B	C	B	A	B	A	B	B	B	B	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	B	B	B	B	A	N	A	B	B	B	C	B	C	A
1	01	01	03	00	004	7203	   0	  4380	D	D	C	C	D	D	C	C	B	B	B	 	 	 	 	 	 	 	 	 	 	D	D	D	B	D	B	B	B	C	A	N	A	B	B	B	C	B	C	A
1	01	01	03	00	004	7204	   0	  1320	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	03	00	004	7205	   0	  1320	V	E	N	E	E	E	N	E	N	N	N	 	 	 	 	 	 	 	 	 	 	E	E	E	N	D	N	N	N	D	N	N	N	N	N	N	N	N	N	N
1	01	01	03	00	004	7206	   0	  1320	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	03	00	004	7207	   0	   295	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
1	01	01	03	00	004	7208	   0	    85	E	E	E	E	E	D	E	E	E	E	N	 	 	 	 	 	 	 	 	 	 	D	D	E	E	E	E	E	E	D	E	N	N	E	N	N	N	N	N	N
