CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VMDATE 	VSZ4   	VMPOPUL	VMOD8  	VMOD7A 	VMOD7B 	VMOD6A 	VMOD6B 	VMOD5A 	VMOD5B 	VMOD5C 	VMOD5D 	VMOD5E 	VMOD5F 	VMOD4  	VMOD3A 	VMOD3B 	VMOD3C 	VMOD2A 	VMOD2B 	VMOD2C 	VMOD2D 	VMOD2E 	VMOD2F 	VMOD1A 	VMOD1B 	VMOD1C 	VMOD1D 	VMOD1E 	VMOD1F 	VMOD1G 	VMOD1H 	VMOD1I 	VMOD1J 	VMOD1K 	VMOD1L 	VMOD1M 	VMOD1N 	VMOD1O 	VMOD1P 	VMOD1Q 	VMOD1R 	VMOD1S 
1	01	01	01	00	004	6907	   0	  2663	 	 	 	 	 	 	 	 	 	 	 	C	B	C	D	B	C	B	C	C	D	B	A	A	B	C	B	D	B	B	B	N	C	C	C	C	N	D	D	N
1	01	01	01	00	004	6908	   0	  2663	 	 	 	 	 	 	 	 	 	 	 	C	B	C	D	B	C	B	C	C	D	B	A	A	B	C	B	D	B	B	B	N	C	C	C	C	N	D	D	N
1	01	01	01	00	004	6909	   0	  2663	 	 	 	 	 	 	 	 	 	 	 	C	B	C	C	B	B	B	C	C	B	B	A	A	B	B	B	C	B	B	B	N	C	C	C	C	C	B	C	B
1	01	01	01	00	004	6910	   0	  2796	 	 	 	 	 	 	 	 	 	 	 	C	B	C	C	B	B	B	C	C	B	B	A	A	B	B	B	C	B	B	B	N	C	C	C	C	C	B	C	B
1	01	01	01	00	004	6911	   0	  2796	 	 	 	 	 	 	 	 	 	 	 	C	B	C	C	B	B	B	C	C	B	B	A	A	B	B	B	C	B	B	B	N	C	C	C	C	C	B	C	B
1	01	01	01	00	004	6912	   0	  2796	 	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	B	B	B	C	B	B	A	A	B	B	B	C	B	B	A	N	B	C	D	C	C	B	C	B
1	01	01	02	00	004	6907	   0	  3413	 	 	 	 	 	 	 	 	 	 	 	C	B	C	C	B	C	B	C	C	C	B	A	A	C	C	B	D	B	B	B	N	D	C	B	C	C	B	D	C
1	01	01	02	00	004	6908	   0	  3413	 	 	 	 	 	 	 	 	 	 	 	C	B	C	C	B	C	B	C	C	C	B	A	A	C	B	B	D	B	B	B	N	D	C	B	C	C	B	D	C
1	01	01	02	00	004	6909	   0	  3413	 	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	B	B	C	C	B	B	A	A	B	B	B	D	B	B	A	N	D	B	B	C	C	B	C	B
1	01	01	02	00	004	6910	   0	  3468	 	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	C	B	C	C	B	B	B	A	B	C	B	D	B	B	A	N	D	B	B	C	C	B	C	B
1	01	01	02	00	004	6911	   0	  3468	 	 	 	 	 	 	 	 	 	 	 	B	B	B	C	B	B	B	C	C	B	B	B	A	B	B	B	D	B	B	A	N	D	B	B	C	C	B	C	B
