CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	 +SC0   	VSZ    	RECTP  
1	01	01	01	00	000	    	   0	V
1	01	01	01	01	000	    	   0	H
1	01	01	01	02	000	    	   0	H
1	01	01	01	03	000	    	   0	H
1	01	01	02	00	000	    	   0	V
1	01	01	02	01	000	    	   0	H
1	01	01	02	02	000	    	   0	H
1	01	01	02	03	000	    	   0	H
1	01	01	02	04	000	    	   0	H
1	01	01	02	05	000	    	   0	H
1	01	01	02	06	000	    	   0	H
1	01	01	03	00	000	    	   0	V
1	01	01	03	01	000	    	   0	H
1	01	01	03	02	000	    	   0	H
1	01	01	03	03	000	    	   0	H
1	01	01	03	04	000	    	   0	H
1	01	01	03	05	000	    	   0	H
1	01	01	03	06	000	    	   0	H
1	01	01	03	07	000	    	   0	H
1	01	01	03	11	000	    	   0	H
1	01	01	04	00	000	    	   0	V
1	01	01	04	01	000	    	   0	H
1	01	01	04	02	000	    	   0	H
1	01	01	04	03	000	    	   0	H
1	01	01	04	04	000	    	   0	H
1	01	01	04	05	000	    	   0	H
1	01	01	05	00	000	    	   0	V
1	01	01	05	01	000	    	   0	H
1	01	01	05	02	000	    	   0	H
1	01	01	05	03	000	    	   0	H
1	01	01	05	04	000	    	   0	H
1	01	01	06	00	000	    	   0	V
1	01	01	06	01	000	    	   0	H
1	01	01	06	02	000	    	   0	H
1	01	01	07	00	000	    	   0	V
1	01	01	07	01	000	    	   0	H
1	01	01	07	02	000	    	   0	H
1	01	01	07	03	000	    	   0	H
1	01	01	07	04	000	    	   0	H
1	01	01	07	05	000	    	   0	H
1	01	01	08	00	000	    	   0	V
1	01	01	08	01	000	    	   0	H
1	01	01	08	02	000	    	   0	H
1	01	01	08	03	000	    	   0	H
1	01	01	09	00	000	    	   0	V
1	01	01	09	01	000	    	   0	H
1	01	01	09	02	000	    	   0	H
1	01	01	09	03	000	    	   0	H
1	01	01	10	00	000	    	   0	V
1	01	01	10	01	000	    	   0	H
1	01	01	10	02	000	    	   0	H
1	01	01	10	03	000	    	   0	H
1	01	01	10	04	000	    	   0	H
1	01	01	10	05	000	    	   0	H
1	01	01	10	06	000	    	   0	H
1	01	01	12	00	000	    	   0	V
1	01	01	12	01	000	    	   0	H
1	01	01	12	02	000	    	   0	H
1	01	01	12	03	000	    	   0	H
1	01	01	13	00	000	    	   0	V
1	01	01	13	01	000	    	   0	H
1	01	01	14	00	000	    	   0	V
1	01	01	14	01	000	    	   0	H
1	01	01	14	02	000	    	   0	H
1	01	01	14	03	000	    	   0	H
1	01	01	14	04	000	    	   0	H
1	01	01	14	05	000	    	   0	H
1	01	01	14	06	000	    	   0	H
1	01	01	14	07	000	    	   0	H
1	01	01	15	00	000	    	   0	V
1	01	01	15	01	000	    	   0	H
1	01	01	15	02	000	    	   0	H
1	01	01	16	00	000	    	   0	V
1	01	01	16	01	000	    	   0	H
1	01	01	16	02	000	    	   0	H
1	01	01	16	03	000	    	   0	H
1	01	01	16	04	000	    	   0	H
