CHAM   	PHAM   	DHAM   	VHAM   	HHAM   	DATE   	 +PCN   	PSSQ1  	VSZ1   	VCPOP  	GVPOP  	NBPOP  	UKPOP  	TOPOP  
1	01	01	00	00	6801	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6802	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6803	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6804	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6805	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6806	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6807	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6808	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6809	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6810	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6811	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6812	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6801	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6802	001	5000	   0	 00000062	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6803	001	5000	   0	 00000062	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6804	001	5000	   0	 00000062	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6805	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6806	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6807	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6808	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6809	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6810	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6811	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6812	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	03	00	00	6801	001	5000	   0	 00000000	 00004636	 00000000	 00000000	 00004636
1	01	03	00	00	6802	001	5000	   0	 00000209	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6803	001	5000	   0	 00000209	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6804	001	5000	   0	 00000209	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6805	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6806	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6807	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6808	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6809	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6810	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6811	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6812	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6801	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6802	001	5000	   0	 00000238	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6803	001	5000	   0	 00000238	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6804	001	5000	   0	 00000238	 00011600	 00000000	 00000000	 00011600
