CHAM   	PHAM   	DHAM   	VHAM   	HHAM   	DATE   	 +PCN   	PSSQ1  	VSZ1   	VCPOP  	GVPOP  	NBPOP  	UKPOP  	TOPOP  
1	01	01	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	01	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	02	00	00	6705	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6706	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6707	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6708	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6709	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6710	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6711	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	02	00	00	6712	001	5000	   0	 00000000	 00000364	 00000000	 00000000	 00000364
1	01	03	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	03	00	00	6711	001	5000	   0	 00000000	 00004636	 00000000	 00000000	 00004636
1	01	03	00	00	6712	001	5000	   0	 00000000	 00004636	 00000000	 00000000	 00004636
1	01	04	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	04	00	00	6707	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6708	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6709	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6710	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6711	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	04	00	00	6712	001	5000	   0	 00000000	 00011600	 00000000	 00000000	 00011600
1	01	05	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	05	00	00	6702	001	5000	   0	 00000000	 00005130	 00000000	 00000000	 00005130
1	01	05	00	00	6703	001	5000	   0	 00000000	 00005130	 00000000	 00000000	 00005130
1	01	05	00	00	6704	001	5000	   0	 00000000	 00005130	 00000000	 00000000	 00005130
1	01	05	00	00	6705	001	5000	   0	 00000000	 00005130	 00000000	 00000000	 00005130
1	01	05	00	00	6706	001	5000	   0	 00000000	 00005130	 00000000	 00000000	 00005130
1	01	05	00	00	6707	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	05	00	00	6708	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	05	00	00	6709	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	05	00	00	6710	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	05	00	00	6711	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	05	00	00	6712	001	5000	   0	 00000000	 00007685	 00000000	 00000000	 00007685
1	01	06	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	06	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	01	08	00	00	6707	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	01	08	00	00	6708	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	01	08	00	00	6709	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	01	08	00	00	6710	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	01	08	00	00	6711	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	01	08	00	00	6712	001	5000	   0	 00000000	 00000429	 00000000	 00000000	 00000429
1	02	01	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	01	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	02	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	03	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	04	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6711	001	5000	   0	 00005060	 00000000	 00051380	 00006950	 00063390
1	02	05	00	00	6712	001	5000	   0	 00005060	 00000000	 00051380	 00006950	 00063390
1	02	06	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6702	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6703	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6704	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6705	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6706	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6707	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6708	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6709	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6710	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6711	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6712	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6701	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
