CHAM   	PHAM   	DHAM   	VHAM   	HHAM   	DATE   	 +PCN   	PSSQ1  	VSZ1   	VCPOP  	GVPOP  	NBPOP  	UKPOP  	TOPOP  
1	02	05	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	05	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6901	001	5000	   0	 00000000	 00000100	 00000000	 00000000	 00000100
1	02	06	00	00	6902	001	5000	   0	 00000000	 00000100	 00000000	 00000000	 00000100
1	02	06	00	00	6903	001	5000	   0	 00000000	 00000100	 00000000	 00000000	 00000100
1	02	06	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	06	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6901	001	5000	   0	 00000000	 00002200	 00000000	 00000000	 00002200
1	02	08	00	00	6902	001	5000	   0	 00000000	 00000500	 00000000	 00000000	 00000500
1	02	08	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	08	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6901	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	09	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6901	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	10	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6901	001	5000	   0	 00000000	 00000400	 00003000	 00000000	 00003400
1	02	11	00	00	6902	001	5000	   0	 00000000	 00000400	 00003000	 00000000	 00003400
1	02	11	00	00	6903	001	5000	   0	 00000000	 00000400	 00003000	 00000000	 00003400
1	02	11	00	00	6904	001	5000	   0	 00000000	 00000400	 00003000	 00000000	 00003400
1	02	11	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	02	11	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6901	001	5000	   0	 00000200	 00001250	 00000000	 00000000	 00001450
1	03	01	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6909	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	01	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	02	00	00	6901	001	5000	   0	 00000500	 00000100	 00000000	 00004000	 00004600
1	03	02	00	00	6902	001	5000	   0	 00000500	 00000100	 00000000	 00004000	 00004600
1	03	02	00	00	6903	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6904	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6905	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6906	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6907	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6908	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6909	001	5000	   0	 00000250	 00000100	 00000000	 00004000	 00004350
1	03	02	00	00	6910	001	5000	   0	 00000000	 00000000	 00000000	 00004000	 00004000
1	03	02	00	00	6911	001	5000	   0	 00000000	 00000000	 00000000	 00004000	 00004000
1	03	02	00	00	6912	001	5000	   0	 00000000	 00000000	 00000000	 00004000	 00004000
1	03	03	00	00	6901	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	03	00	00	6907	001	5000	   0	 00000000	 00013587	 00000000	 00000000	 00013587
1	03	03	00	00	6908	001	5000	   0	 00000000	 00013587	 00000000	 00000000	 00013587
1	03	03	00	00	6909	001	5000	   0	 00000000	 00013587	 00000000	 00000000	 00013587
1	03	03	00	00	6910	001	5000	   0	 00000000	 00013587	 00000000	 00000000	 00013587
1	03	03	00	00	6911	001	5000	   0	 00000000	 00013587	 00000000	 00000000	 00013587
1	03	03	00	00	6912	001	5000	   0	 00000090	 00013587	 00000000	 00000000	 00013677
1	03	04	00	00	6901	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	04	00	00	6908	001	5000	   0	 00004245	 00000000	 00000000	 00000000	 00004245
1	03	04	00	00	6909	001	5000	   0	 00004245	 00000000	 00000000	 00000000	 00004245
1	03	04	00	00	6910	001	5000	   0	 00004245	 00000000	 00000000	 00000000	 00004245
1	03	04	00	00	6911	001	5000	   0	 00004245	 00000000	 00000000	 00000000	 00004245
1	03	04	00	00	6912	001	5000	   0	 00002462	 00000000	 00000000	 00000000	 00002462
1	03	05	00	00	6901	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6902	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6903	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6904	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6905	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6906	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6907	001	5000	   0	 00004926	 00000000	 00000000	 00000000	 00004926
1	03	05	00	00	6908	001	5000	   0	 00005359	 00000000	 00000000	 00000000	 00005359
1	03	05	00	00	6909	001	5000	   0	 00005359	 00000000	 00000000	 00000000	 00005359
1	03	05	00	00	6910	001	5000	   0	 00005359	 00000000	 00000000	 00000000	 00005359
1	03	05	00	00	6911	001	5000	   0	 00005359	 00000000	 00000000	 00000000	 00005359
1	03	05	00	00	6912	001	5000	   0	 00005359	 00000000	 00000000	 00000000	 00005359
1	03	06	00	00	6901	001	5000	   0	 00003500	 00013212	 00002338	 00000000	 00019050
1	03	06	00	00	6902	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6903	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6904	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6905	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6906	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6907	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6908	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6909	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6910	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6911	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	06	00	00	6912	001	5000	   0	 00011607	 00000000	 00000000	 00000000	 00011607
1	03	07	00	00	6901	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6902	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6903	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6904	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6905	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6906	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6907	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
1	03	07	00	00	6908	001	5000	   0	 00000000	 00000000	 00000000	 00000000	 00000000
